return_id,transaction_id,customer_id,product_id,return_date,reason,refund_amount_usd,restocked
RET00001,TXN000027,CUST04406,PROD0390,2023-01-24,not_as_described,794.91,True
RET00002,TXN000050,CUST04376,PROD0452,2023-10-28,wrong_item,219.16,False
RET00003,TXN000059,CUST07254,PROD0198,2022-10-07,wrong_item,370.6,False
RET00004,TXN000082,CUST04163,PROD0475,2022-01-31,defective,191.82,True
RET00005,TXN000107,CUST04000,PROD0466,2024-09-21,defective,655.67,False
RET00006,TXN000147,CUST07365,PROD0032,2023-12-31,defective,268.88,True
RET00007,TXN000171,CUST03847,PROD0219,2024-01-13,late_delivery,21.39,True
RET00008,TXN000205,CUST01002,PROD0023,2023-01-23,not_as_described,108.53,False
RET00009,TXN000226,CUST00168,PROD0194,2022-04-03,changed_mind,894.46,True
RET00010,TXN000231,CUST06118,PROD0084,2024-03-19,wrong_item,88.11,True
RET00011,TXN000241,CUST02630,PROD0226,2023-10-12,changed_mind,476.12,True
RET00012,TXN000242,CUST03391,PROD0125,2022-02-21,changed_mind,2546.38,False
RET00013,TXN000266,CUST04240,PROD0336,2022-05-07,not_as_described,250.28,True
RET00014,TXN000295,CUST00607,PROD0199,2024-09-18,not_as_described,1525.19,False
RET00015,TXN000341,CUST06585,PROD0124,2024-03-09,wrong_item,4957.54,True
RET00016,TXN000399,CUST07373,PROD0245,2023-04-25,changed_mind,189.73,False
RET00017,TXN000409,CUST02053,PROD0403,2023-05-24,not_as_described,93.43,True
RET00018,TXN000463,CUST00785,PROD0313,2022-07-31,changed_mind,161.79,False
RET00019,TXN000464,CUST05012,PROD0004,2023-09-19,wrong_item,2490.63,False
RET00020,TXN000500,CUST05736,PROD0257,2023-07-01,wrong_item,138.69,True
RET00021,TXN000503,CUST05204,PROD0218,2024-10-21,defective,290.91,False
RET00022,TXN000526,CUST06530,PROD0446,2024-02-27,not_as_described,31.28,True
RET00023,TXN000542,CUST03742,PROD0175,2023-10-07,late_delivery,116.98,True
RET00024,TXN000547,CUST07195,PROD0029,2023-09-04,not_as_described,176.81,True
RET00025,TXN000563,CUST05272,PROD0487,2024-05-20,not_as_described,72.58,True
RET00026,TXN000598,CUST05863,PROD0142,2022-04-01,not_as_described,69.65,True
RET00027,TXN000603,CUST00785,PROD0465,2022-03-16,wrong_item,7844.34,True
RET00028,TXN000604,CUST02939,PROD0027,2022-09-02,changed_mind,248.16,False
RET00029,TXN000606,CUST05926,PROD0026,2023-05-01,late_delivery,109.38,False
RET00030,TXN000674,CUST01583,PROD0141,2024-06-13,not_as_described,1943.24,True
RET00031,TXN000675,CUST04360,PROD0163,2023-03-06,changed_mind,154.03,False
RET00032,TXN000678,CUST02198,PROD0145,2024-02-19,not_as_described,338.79,False
RET00033,TXN000679,CUST06388,PROD0277,2022-11-21,wrong_item,288.2,True
RET00034,TXN000685,CUST00532,PROD0460,2024-10-20,late_delivery,144.68,True
RET00035,TXN000686,CUST01713,PROD0434,2024-03-16,not_as_described,80.88,True
RET00036,TXN000696,CUST00949,PROD0472,2024-12-04,defective,201.63,False
RET00037,TXN000712,CUST07403,PROD0260,2023-11-26,defective,4474.6,True
RET00038,TXN000726,CUST05545,PROD0334,2022-07-12,late_delivery,1044.48,True
RET00039,TXN000740,CUST07760,PROD0195,2024-10-18,changed_mind,71.14,False
RET00040,TXN000754,CUST01713,PROD0163,2022-05-29,defective,136.91,False
RET00041,TXN000761,CUST00779,PROD0361,2024-03-18,not_as_described,2787.15,False
RET00042,TXN000770,CUST05160,PROD0195,2024-01-26,wrong_item,301.28,True
RET00043,TXN000772,CUST00264,PROD0338,2023-11-15,not_as_described,1114.4,True
RET00044,TXN000780,CUST01169,PROD0032,2022-05-24,defective,302.49,True
RET00045,TXN000805,CUST02410,PROD0234,2023-05-04,wrong_item,461.4,False
RET00046,TXN000807,CUST07084,PROD0396,2022-08-03,changed_mind,56.08,False
RET00047,TXN000837,CUST00813,PROD0472,2023-07-17,wrong_item,2016.3,False
RET00048,TXN000863,CUST05560,PROD0041,2024-01-15,not_as_described,159.77,False
RET00049,TXN000867,CUST07618,PROD0103,2022-10-30,defective,225.31,True
RET00050,TXN000873,CUST02396,PROD0295,2022-07-07,defective,3170.88,True
RET00051,TXN000878,CUST04388,PROD0472,2023-11-18,not_as_described,161.3,True
RET00052,TXN000881,CUST03916,PROD0396,2024-11-18,wrong_item,66.59,True
RET00053,TXN000894,CUST06963,PROD0161,2024-10-26,defective,147.34,True
RET00054,TXN000915,CUST00018,PROD0184,2022-12-20,changed_mind,227.32,False
RET00055,TXN000960,CUST03413,PROD0055,2024-03-27,defective,188.93,True
RET00056,TXN001002,CUST01131,PROD0211,2022-12-25,not_as_described,43.61,False
RET00057,TXN001009,CUST01713,PROD0077,2023-07-09,changed_mind,300.52,True
RET00058,TXN001010,CUST02757,PROD0349,2022-05-24,wrong_item,126.68,False
RET00059,TXN001031,CUST05767,PROD0276,2023-11-02,late_delivery,1422.9,True
RET00060,TXN001036,CUST02130,PROD0318,2023-12-07,changed_mind,2069.41,True
RET00061,TXN001043,CUST01771,PROD0286,2024-11-07,changed_mind,122.18,True
RET00062,TXN001048,CUST02913,PROD0455,2022-02-06,defective,405.61,True
RET00063,TXN001050,CUST00687,PROD0101,2022-10-07,defective,493.94,False
RET00064,TXN001071,CUST05560,PROD0364,2025-01-10,wrong_item,585.55,True
RET00065,TXN001076,CUST07845,PROD0167,2023-06-07,wrong_item,42.52,False
RET00066,TXN001081,CUST04577,PROD0391,2023-08-26,defective,1075.6,False
RET00067,TXN001098,CUST04157,PROD0343,2022-12-21,not_as_described,233.52,False
RET00068,TXN001101,CUST07009,PROD0153,2024-07-21,not_as_described,281.89,False
RET00069,TXN001103,CUST05896,PROD0093,2023-01-25,wrong_item,169.0,True
RET00070,TXN001113,CUST00214,PROD0462,2024-06-12,changed_mind,30.07,False
RET00071,TXN001116,CUST05656,PROD0458,2024-11-15,wrong_item,486.29,True
RET00072,TXN001164,CUST05851,PROD0171,2024-01-05,changed_mind,468.12,True
RET00073,TXN001166,CUST01417,PROD0115,2024-04-08,defective,1370.12,False
RET00074,TXN001168,CUST03182,PROD0499,2024-10-27,not_as_described,71.54,False
RET00075,TXN001174,CUST06070,PROD0228,2024-11-15,not_as_described,56.94,False
RET00076,TXN001177,CUST06233,PROD0280,2023-04-27,not_as_described,1214.78,False
RET00077,TXN001207,CUST04991,PROD0355,2023-08-04,wrong_item,43.67,False
RET00078,TXN001222,CUST01713,PROD0276,2023-01-13,not_as_described,3754.88,True
RET00079,TXN001249,CUST03031,PROD0088,2022-05-30,wrong_item,82.55,True
RET00080,TXN001272,CUST02995,PROD0106,2024-11-16,not_as_described,276.38,False
RET00081,TXN001311,CUST01401,PROD0348,2024-05-01,changed_mind,332.33,True
RET00082,TXN001317,CUST07958,PROD0191,2022-06-18,not_as_described,148.78,False
RET00083,TXN001350,CUST05821,PROD0212,2024-06-23,changed_mind,147.96,True
RET00084,TXN001354,CUST01068,PROD0216,2022-11-28,defective,2264.02,True
RET00085,TXN001375,CUST01713,PROD0006,2022-06-06,wrong_item,573.04,True
RET00086,TXN001401,CUST02111,PROD0384,2023-06-09,wrong_item,324.93,True
RET00087,TXN001403,CUST07947,PROD0246,2023-12-13,not_as_described,160.68,False
RET00088,TXN001416,CUST00948,PROD0399,2025-01-05,not_as_described,513.16,True
RET00089,TXN001423,CUST05951,PROD0323,2022-10-27,changed_mind,238.39,True
RET00090,TXN001452,CUST07194,PROD0071,2023-09-10,defective,1097.71,True
