sales_month,total_orders,total_units_sold,avg_order_value,total_revenue_usd
2022-01,1839,4251,504.98,928659.34
2022-02,1403,3194,543.89,763083.86
2022-03,2174,5043,530.18,1152617.67
2022-04,2261,5078,552.12,1248334.1
2022-05,2327,5344,517.33,1203820.47
2022-06,2159,4984,539.48,1164740.25
2022-07,2560,6015,538.93,1379669.34
2022-08,2287,5272,519.1,1187172
2022-09,2354,5510,529.18,1245683.86
2022-10,2616,5964,524.64,1372470.44
2022-11,3292,7723,554.61,1825784.6
2022-12,3976,9015,503.06,2000165.72
2023-01,1879,4393,523.4,983476.78
2023-02,1491,3512,544.31,811560.13
2023-03,2014,4710,519.42,1046117.62
2023-04,2106,4975,506.79,1067293.22
2023-05,2372,5438,520.5,1234630.29
2023-06,2272,5199,527.1,1197576.94
2023-07,2425,5646,547.46,1327597.11
2023-08,2282,5323,525.14,1198375.52
2023-09,2372,5628,535.16,1269410.66
2023-10,2709,6169,542.73,1470259.25
2023-11,3310,7778,535.45,1772346.85
2023-12,3984,9272,530.99,2115457.41
2024-01,1806,4241,525.09,948304.22
2024-02,1513,3566,576.77,872654.19
2024-03,2188,5045,529.15,1157774.07
2024-04,2172,5186,543.32,1180082.29
2024-05,2391,5667,521.76,1247537.86
2024-06,2251,5072,528.27,1189146.42
2024-07,2408,5581,520.96,1254469.01
2024-08,2345,5430,538.01,1261640.45
2024-09,2413,5850,540.17,1303433.56
2024-10,2590,6010,535.1,1385918.79
2024-11,3381,7858,531.49,1796980.91
2024-12,3903,9077,498.23,1944573.5
