product_id,name,category,total_units_sold,daily_sales_rate,current_stock,days_of_supply_remaining,inventory_status
PROD0380,"CoreBrand Sports Item 380","Sports & Outdoors",204,0.19,1,5,"Critical - Stockout Risk"
PROD0179,"ClearView Beauty Item 179","Beauty & Health",265,0.24,2,8,"Low Stock"
PROD0245,"PrimeLine Clothing Item 245",Clothing,288,0.27,2,8,"Overstock/ Slow moving"
PROD0279,"ZenLife Clothing Item 279",Clothing,257,0.24,2,8,"Low Stock"
PROD0351,"PrimeLine Electronics Item 351",Electronics,267,0.25,2,8,"Overstock/ Slow moving"
PROD0402,"CoreBrand Beauty Item 402","Beauty & Health",416,0.38,3,8,"Overstock/ Slow moving"
PROD0440,"PureForm Electronics Item 440",Electronics,260,0.24,2,8,"Low Stock"
PROD0117,"ZenLife Toys Item 117","Toys & Games",357,0.33,3,9,"Low Stock"
PROD0202,"FunZone Electronics Item 202",Electronics,493,0.46,4,9,"Low Stock"
PROD0211,"PureForm Toys Item 211","Toys & Games",367,0.34,3,9,"Low Stock"
PROD0216,"CoreBrand Electronics Item 216",Electronics,841,0.77,7,9,"Low Stock"
PROD0236,"StyleCo Electronics Item 236",Electronics,231,0.22,2,9,"Low Stock"
PROD0241,"PureForm Books Item 241",Books,469,0.43,4,9,"Low Stock"
PROD0254,"NovaTech Clothing Item 254",Clothing,235,0.22,2,9,"Low Stock"
PROD0263,"PureForm Sports Item 263","Sports & Outdoors",233,0.22,2,9,"Low Stock"
PROD0414,"CoreBrand Sports Item 414","Sports & Outdoors",377,0.35,3,9,"Low Stock"
PROD0429,"FunZone Clothing Item 429",Clothing,368,0.34,3,9,"Low Stock"
PROD0491,"ClearView Books Item 491",Books,474,0.44,4,9,"Low Stock"
PROD0498,"ZenLife Clothing Item 498",Clothing,249,0.23,2,9,"Low Stock"
PROD0201,"ActiveGear Electronics Item 201",Electronics,224,0.21,2,10,"Low Stock"
PROD0257,"NovaTech Home Item 257","Home & Kitchen",326,0.30,3,10,"Low Stock"
PROD0308,"NexGen Sports Item 308","Sports & Outdoors",419,0.38,4,10,"Low Stock"
PROD0479,"NexGen Home Item 479","Home & Kitchen",317,0.30,3,10,"Low Stock"
PROD0073,"HomePro Clothing Item 73",Clothing,413,0.38,4,11,"Low Stock"
PROD0097,"HomePro Clothing Item 97",Clothing,298,0.28,3,11,"Low Stock"
PROD0198,"PrimeLine Electronics Item 198",Electronics,291,0.27,3,11,"Low Stock"
PROD0268,"NexGen Electronics Item 268",Electronics,302,0.28,3,11,"Low Stock"
PROD0277,"CoreBrand Electronics Item 277",Electronics,512,0.47,5,11,"Low Stock"
PROD0298,"PureForm Home Item 298","Home & Kitchen",487,0.45,5,11,"Low Stock"
