product_id,name,category,total_units_sold,total_revenue_usd,return_rate_pct,revenue_leakage_pct
PROD0090,"NexGen Sports Item 90","Sports & Outdoors",345,46225.73,6,16
PROD0212,"HomePro Home Item 212","Home & Kitchen",266,15498.81,5,15
PROD0176,"PrimeLine Clothing Item 176",Clothing,213,44427.83,5,15
PROD0304,"FunZone Electronics Item 304",Electronics,325,125066.27,4,15
PROD0208,"ReadMore Electronics Item 208",Electronics,285,192714.77,3,14
PROD0046,"PureForm Toys Item 46","Toys & Games",431,47476.42,5,14
PROD0234,"GlowUp Clothing Item 234",Clothing,273,31035.08,4,14
PROD0197,"StyleCo Electronics Item 197",Electronics,399,284833.49,4,14
PROD0411,"StyleCo Clothing Item 411",Clothing,247,41446.88,5,14
PROD0098,"BoldEdge Home Item 98","Home & Kitchen",314,31564.29,4,14
PROD0279,"ZenLife Clothing Item 279",Clothing,257,50907.42,7,13
PROD0271,"PureForm Clothing Item 271",Clothing,238,16024.61,5,13
PROD0118,"PrimeLine Beauty Item 118","Beauty & Health",348,54247.1,4,13
PROD0124,"FunZone Electronics Item 124",Electronics,321,352335.27,4,13
PROD0286,"GlowUp Home Item 286","Home & Kitchen",1127,145554.86,4,12
PROD0342,"ActiveGear Clothing Item 342",Clothing,284,63106.97,4,12
PROD0041,"NexGen Books Item 41",Books,304,16243.43,4,12
PROD0231,"StyleCo Electronics Item 231",Electronics,668,58566.75,4,12
PROD0425,"ZenLife Home Item 425","Home & Kitchen",298,24492.14,4,12
PROD0487,"NovaTech Clothing Item 487",Clothing,633,45996.62,5,12
PROD0168,"StyleCo Clothing Item 168",Clothing,352,99365.1,3,12
PROD0372,"ActiveGear Clothing Item 372",Clothing,304,23097.84,5,12
PROD0380,"CoreBrand Sports Item 380","Sports & Outdoors",204,19908.17,5,12
PROD0369,"ClearView Beauty Item 369","Beauty & Health",235,17109.97,5,12
PROD0476,"HomePro Sports Item 476","Sports & Outdoors",265,22477.02,4,12
PROD0448,"CoreBrand Home Item 448","Home & Kitchen",261,4246.73,3,12
PROD0288,"CoreBrand Toys Item 288","Toys & Games",240,30466.18,5,12
PROD0471,"ZenLife Sports Item 471","Sports & Outdoors",280,42407.85,3,12
PROD0183,"ZenLife Clothing Item 183",Clothing,280,13559.84,4,12
PROD0458,"GlowUp Clothing Item 458",Clothing,262,31704.51,3,11
PROD0021,"NexGen Sports Item 21","Sports & Outdoors",353,90154.61,4,11
PROD0453,"ZenLife Clothing Item 453",Clothing,429,99368.43,4,11
PROD0032,"ReadMore Beauty Item 32","Beauty & Health",599,38113.94,4,11
PROD0076,"BoldEdge Sports Item 76","Sports & Outdoors",437,190174.52,4,11
PROD0070,"ZenLife Electronics Item 70",Electronics,394,162697.36,4,11
PROD0091,"StyleCo Toys Item 91","Toys & Games",292,32840.44,5,11
PROD0391,"HomePro Home Item 391","Home & Kitchen",367,94316.53,4,11
PROD0459,"ReadMore Beauty Item 459","Beauty & Health",702,57185.7,4,11
PROD0441,"PrimeLine Electronics Item 441",Electronics,216,181431.6,5,11
PROD0420,"ReadMore Electronics Item 420",Electronics,452,416032.63,4,11
PROD0413,"ActiveGear Home Item 413","Home & Kitchen",311,4620.81,5,11
PROD0238,"PureForm Clothing Item 238",Clothing,330,44508.6,4,11
PROD0110,"PureForm Beauty Item 110","Beauty & Health",537,51735.3,4,11
PROD0201,"ActiveGear Electronics Item 201",Electronics,224,32107.6,4,11
PROD0337,"StyleCo Clothing Item 337",Clothing,255,55498.71,5,11
PROD0256,"GlowUp Clothing Item 256",Clothing,389,35491.9,5,11
PROD0008,"PrimeLine Beauty Item 8","Beauty & Health",245,2627.19,4,11
PROD0495,"NexGen Clothing Item 495",Clothing,316,54002.05,4,11
PROD0133,"FunZone Home Item 133","Home & Kitchen",260,37175.94,5,11
PROD0416,"NovaTech Clothing Item 416",Clothing,553,74953.48,4,10
PROD0321,"StyleCo Toys Item 321","Toys & Games",678,35620.92,5,10
PROD0085,"GlowUp Sports Item 85","Sports & Outdoors",1197,305315.05,4,10
PROD0149,"FunZone Sports Item 149","Sports & Outdoors",674,171003.3,4,10
PROD0358,"ZenLife Home Item 358","Home & Kitchen",479,63009.34,4,10
PROD0363,"ClearView Toys Item 363","Toys & Games",311,38284.2,3,10
PROD0108,"CoreBrand Home Item 108","Home & Kitchen",271,44035.17,4,10
PROD0216,"CoreBrand Electronics Item 216",Electronics,841,942666.6,4,10
PROD0438,"ActiveGear Toys Item 438","Toys & Games",496,30445.02,3,10
PROD0314,"GlowUp Clothing Item 314",Clothing,591,138088.93,4,10
PROD0356,"NexGen Electronics Item 356",Electronics,704,301870.41,3,10
PROD0214,"BoldEdge Toys Item 214","Toys & Games",538,24904.63,3,10
PROD0483,"ZenLife Toys Item 483","Toys & Games",590,64154.65,4,10
PROD0050,"ReadMore Books Item 50",Books,345,16477.37,3,10
PROD0141,"GlowUp Sports Item 141","Sports & Outdoors",379,121742.46,5,10
PROD0209,"ReadMore Electronics Item 209",Electronics,357,260900.29,4,10
PROD0165,"GlowUp Beauty Item 165","Beauty & Health",238,26964.82,3,10
PROD0006,"ReadMore Beauty Item 6","Beauty & Health",225,32550.18,4,10
PROD0464,"FunZone Home Item 464","Home & Kitchen",282,91501.54,6,10
PROD0366,"PureForm Books Item 366",Books,350,6944.09,4,10
PROD0399,"GlowUp Beauty Item 399","Beauty & Health",296,53045.78,3,10
PROD0053,"CoreBrand Home Item 53","Home & Kitchen",254,86578.92,4,10
PROD0473,"ClearView Electronics Item 473",Electronics,199,140680.99,6,10
PROD0341,"FunZone Books Item 341",Books,245,1868.7,3,10
PROD0362,"StyleCo Books Item 362",Books,318,7341.24,4,10
PROD0359,"PrimeLine Sports Item 359","Sports & Outdoors",710,42324.05,4,9
PROD0160,"StyleCo Sports Item 160","Sports & Outdoors",476,201131.68,3,9
PROD0282,"ActiveGear Clothing Item 282",Clothing,431,103016.84,3,9
PROD0493,"PureForm Sports Item 493","Sports & Outdoors",400,101297.42,4,9
