product_id,name,category,avg_stock_units,total_revenue_usd,total_refunds_usd,refund_rate_pct,OEI_score
PROD0400,"FunZone Electronics Item 400",Electronics,20,115039.83,1431.57,1.24,97.32
PROD0270,"ActiveGear Home Item 270","Home & Kitchen",8,42768.7,588.03,1.37,97.18
PROD0322,"FunZone Home Item 322","Home & Kitchen",14,123507.14,1933.89,1.57,96.72
PROD0263,"PureForm Sports Item 263","Sports & Outdoors",2,85413.98,1459.23,1.71,96.56
PROD0439,"BoldEdge Clothing Item 439",Clothing,15,11148.59,202.12,1.81,96.23
PROD0300,"ClearView Electronics Item 300",Electronics,13,93898.56,1773.13,1.89,96.09
PROD0025,"ActiveGear Toys Item 25","Toys & Games",4,18624.35,386.28,2.07,95.82
PROD0387,"PureForm Sports Item 387","Sports & Outdoors",7,12950.49,272.82,2.11,95.71
PROD0469,"ClearView Clothing Item 469",Clothing,20,67688.99,1394.75,2.06,95.68
PROD0232,"NexGen Clothing Item 232",Clothing,6,34933.74,778.5,2.23,95.48
PROD0302,"PrimeLine Electronics Item 302",Electronics,9,296475.72,6987.64,2.36,95.19
PROD0083,"HomePro Books Item 83",Books,4,12517.81,311.59,2.49,94.98
PROD0332,"NovaTech Toys Item 332","Toys & Games",28,45842.94,1099.22,2.4,94.92
PROD0268,"NexGen Electronics Item 268",Electronics,3,17595.61,451.88,2.57,94.83
PROD0122,"NexGen Electronics Item 122",Electronics,6,160647.05,4186.25,2.61,94.72
PROD0067,"NovaTech Home Item 67","Home & Kitchen",19,24581.74,627.43,2.55,94.71
PROD0346,"GlowUp Electronics Item 346",Electronics,4,48712.93,1278.86,2.63,94.7
PROD0275,"ClearView Books Item 275",Books,4,3657.95,100.15,2.74,94.48
PROD0233,"ClearView Home Item 233","Home & Kitchen",13,11478.32,341.37,2.97,93.93
PROD0446,"FunZone Clothing Item 446",Clothing,11,7386.14,222.27,3.01,93.87
PROD0329,"NovaTech Clothing Item 329",Clothing,5,22488.71,685.23,3.05,93.85
PROD0440,"PureForm Electronics Item 440",Electronics,2,46416.01,1461.1,3.15,93.68
PROD0409,"ClearView Clothing Item 409",Clothing,6,61713.56,1952.72,3.16,93.62
PROD0236,"StyleCo Electronics Item 236",Electronics,2,117338.11,3746.26,3.19,93.6
PROD0161,"ClearView Toys Item 161","Toys & Games",4,38264.16,1222.92,3.2,93.56
PROD0376,"PrimeLine Electronics Item 376",Electronics,10,54353.59,1764.8,3.25,93.4
PROD0317,"BoldEdge Clothing Item 317",Clothing,15,71084.86,2355.11,3.31,93.23
PROD0218,"ActiveGear Beauty Item 218","Beauty & Health",22,43927.32,1449.7,3.3,93.18
PROD0418,"NexGen Books Item 418",Books,6,8315.94,283.86,3.41,93.12
PROD0040,"PrimeLine Electronics Item 40",Electronics,4,115501.16,3962.35,3.43,93.1
PROD0243,"StyleCo Electronics Item 243",Electronics,7,223476.45,7663.8,3.43,93.07
PROD0079,"PrimeLine Beauty Item 79","Beauty & Health",19,3825.95,130.71,3.42,92.97
PROD0489,"StyleCo Toys Item 489","Toys & Games",10,4173.74,145.87,3.49,92.92
PROD0344,"PureForm Electronics Item 344",Electronics,7,237092.9,8317.16,3.51,92.91
PROD0225,"PrimeLine Home Item 225","Home & Kitchen",9,70451.78,2466.13,3.5,92.91
PROD0120,"PureForm Home Item 120","Home & Kitchen",17,40694.54,1410.78,3.47,92.89
PROD0138,"CoreBrand Books Item 138",Books,12,22198.94,782.83,3.53,92.82
PROD0003,"GlowUp Home Item 3","Home & Kitchen",11,61507.21,2176.77,3.54,92.81
PROD0058,"ActiveGear Clothing Item 58",Clothing,13,154132.78,5445.42,3.53,92.81
PROD0433,"FunZone Books Item 433",Books,12,11019.54,396.81,3.6,92.68
PROD0162,"ActiveGear Clothing Item 162",Clothing,13,25360.38,912.29,3.6,92.67
PROD0007,"NexGen Books Item 7",Books,4,10261.36,377.22,3.68,92.6
PROD0132,"BoldEdge Sports Item 132","Sports & Outdoors",19,76434.04,2763.11,3.62,92.57
PROD0134,"PrimeLine Electronics Item 134",Electronics,22,282424.54,10295.93,3.65,92.48
